"region_full","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Yukon","N Yukon ","CM42","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","Porcupine","CM43","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","Boundary Bay","CO01","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","Lower Fraser","CO02","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","Lillooet","CO03","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","Fraser Canyon","CO04","Coho",3,"Threatened",-63,-45,1160,2016,"Threatened"
"Fraser","Middle Fraser","CO05","Coho",3,"Threatened",226,4,14722,2016,"Not at risk"
"Fraser","Lower Thompson","CO06","Coho",3,"Threatened",106,6,13527,2016,"Not at risk"
"Fraser","South Thompson","CO07","Coho",3,"Threatened",2,-22,15023,2016,"Not at risk"
"Fraser","North Thompson","CO08","Coho",3,"Threatened",16,-28,15314,2016,"Not at risk"
"Van. Isl. Main. Inl.","Georgia Strait Mainland","CO09","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Howe Sound-Burrard Inlet","CO10","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI-Georgia Strait","CO11","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","South Coastal Streams","CO12","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Homathko-Klinaklini","CO13","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI-Johnstone Strait-S Fjords","CO14","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","West VI","CO15","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Juan de Fuca-Pachena","CO16","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Northwest VI","CO17","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","West","CO18","Coho",3,"Not assessed",-76,-12,13088,2020,"Endangered"
"Haida Gwaii","North","CO19","Coho",3,"Not assessed",-25,-13,53347,2019,"Not at risk"
"Haida Gwaii","East","CO20","Coho",3,"Not assessed",-76,-6,13755,2021,"Endangered"
"Central Coast","Rivers/Smith","CO21","Coho",3,"Not assessed",74,32,11608,2014,"Not at risk"
"Central Coast","Bella Coola/Dean ","CO22","Coho",3,"Not assessed",-58,-10,28913,2021,"Threatened"
"Central Coast","Hecate Strait Mainland","CO23","Coho",3,"Not assessed",-57,-20,130086,2021,"Threatened"
"Central Coast","Northern Coastal Streams","CO24","Coho",3,"Not assessed",-9,0,8850,2021,"Not at risk"
"Skeena","Skeena Estuary","CO25","Coho",3,"Not assessed",33,-22,4127,2014,"Not at risk"
"Skeena","Lower Skeena","CO26","Coho",3,"Not assessed",-34,-19,65139,2017,"Special concern"
"Skeena","Middle Skeena","CO27","Coho",3,"Not assessed",-5,12,209016,2017,"Not at risk"
