"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
415,"Upper Nass",NA,"PE20",NA,"Upper Nass","PKE-12","Pink",NA,NA,0,0,0,0,0,"None",6,"Nass"
416,"Prudhomme","PRUDHOMME","SE137","PRUDHOMME","Prudhomme","SEL-19-49","Sockeye-Lake",5,NA,0,0,0,0,0,NA,3,"Skeena"
417,"Shawatlan","SHAWATLAN","SE141","SHAWATLAN","Shawatlan","SEL-19-54","Sockeye-Lake",5,NA,0,0,0,0,0,NA,1,"Skeena"
418,"Clements","CLEMENTS","T48","CLEMENTS","Clements",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
419,"Leverson",NA,"T49","SPLIT_MTN/LEVERSON","Split Mountain/Leverson",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
420,"Bowser","BOWSER","SE178","BOWSER","Bowser",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
421,"Damdochax","DAMDOCHAX","SE179","DAMDOCHAX","Damdochax/Wiminasik","SEL-24-02","Sockeye-Lake",5,NA,4,5,4,5,18,"None",1,"Nass"
422,"Fred Wright","FWRIGHT","SE180","FWRIGHT","Fred Wright","SEL-24-03","Sockeye-Lake",5,NA,3,5,5,5,18,"None",1,"Nass"
423,"Kwinageese","KWINAGEESE","SE181","KWINAGEESE","Kwinageese",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
424,"Meziadin","MEZIADIN","SE182","MEZIADIN","Meziadin","SEL-24-05","Sockeye-Lake",5,"Status assessment recommended",3,5,5,5,18,"None",1,"Nass"
425,"Oweegee","OWEEGEE","SE183","OWEEGEE","Oweegee",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
426,"Lower Nass-Portland",NA,"SE042","LNR-P","Lower Nass-Portland","SER-20","Sockeye-River",4,NA,1,4,5,5,15,"None",17,"Nass"
427,"Upper Nass River",NA,"SE043","UNR","Upper Nass River","SER-21","Sockeye-River",4,NA,0,0,0,0,0,"None",3,"Nass"
500,"Smith Inlet",NA,"CM17",NA,"Smith Inlet","CM-12","Chum",4,NA,1,5,3,2,11,"None",11,"CC"
501,"Rivers Inlet",NA,"CM16",NA,"Rivers Inlet","CM-13","Chum",4,NA,1,2,2,2,7,"None",17,"CC"
502,"Wannock",NA,"CM18",NA,"Wannock River","CM-14","Chum",4,NA,0,0,0,0,0,"Low",1,"CC"
503,"Spiller-Fitz-Hugh-Burke",NA,"CM22",NA,"Spiller-Fitzhugh-Burke","CM-15","Chum",4,NA,1,3,3,2,9,"Moderate",69,"CC"
504,"Bella Colla-Dean Rivers",NA,"CM19",NA,"Bella Coola - Dean Rivers","CM-16","Chum",4,NA,1,5,4,2,12,"Moderate",23,"CC"
505,"Bella Coola River-Late",NA,"CM20",NA,"Bella Coola River - Late","CM-17","Chum",4,NA,0,0,0,0,0,"Moderate",9,"CC"
506,"Hecate Lowlands",NA,"CM21",NA,"Hecate Strait Mainland","CM-18","Chum",4,NA,1,3,3,2,9,"Moderate",147,"CC"
507,"Mussel-Kynock",NA,"CM23",NA,"Mussel-Kynoch","CM-19","Chum",4,NA,1,5,4,2,12,"None",14,"CC"
508,"Douglas-Gardner",NA,"CM24",NA,"Northern Coastal Streams","CM-20","Chum",4,NA,2,2,5,2,11,"Moderate",65,"CC"
509,"Docee",NA,"CK32","SMITH","Smith Inlet, Ocean, Summer","CK-36","Chinook",4,NA,0,0,0,0,0,"None",1,"CC"
510,"Rivers Inlet",NA,"CK33","RIVERS","Rivers Inlet, Stream, Summer","CK-37","Chinook",5,NA,1,3,1,3,8,"Low",14,"CC"
511,"Wannock",NA,"CK34","WANN","Wannock","CK-38","Chinook",5,NA,1,3,2,3,9,"Moderate",1,"CC"
512,"Bella Coola-Bentinck",NA,"CK35","BCR-BENT","Bella Coola-Bentinck, Ocean, Summer","CK-39","Chinook",5,NA,1,5,2,5,13,"High",9,"CC"
513,"Dean River",NA,"CK36","DEAN","Dean River, Stream, Summer","CK-40","Chinook",5,NA,1,5,1,3,10,"None",1,"CC"
514,"NCC-late timing",NA,"CK37","NCC Late","North & Central Coast Late, Ocean/Stream, Summer","CK-41","Chinook",5,NA,0,0,0,0,0,"None",16,"CC"
515,"NCC-early timing",NA,"CK38","NCC early","North & Central Coast Early, Ocean, Spring","CK-42","Chinook",5,NA,0,1,3,3,7,"Moderate",46,"CC"
516,"Smith Inlet","Smith","CO21","RSI","Rivers-Smith Inlet","CO-20","Coho",3,NA,1,5,1,3,10,"None",13,"CC"
517,"Rivers Inlet","Rivers","CO21","RSI","Rivers-Smith Inlet","CO-21","Coho",3,NA,0,0,0,0,0,"Moderate",24,"CC"
518,"Bella Coola-Dean Rivers","BCD","CO22","BCD","Bella Coola - Dean Rivers","CO-22","Coho",3,NA,1,5,4,1,11,"Moderate",32,"CC"
519,"Mussel-Kynoch","MusKyn","CO24","NCS","Northern Coastal Streams","CO-26","Coho",3,NA,1,3,2,1,7,"None",14,"CC"
